Data;Total de casos;Casos por dia;Óbitos por dia
10/set/21;4298851;671;192
11/set/21;4299629;778;178
12/set/21;4300307;678;38
13/set/21;4300644;337;22
14/set/21;4301525;881;186
15/set/21;4302511;986;197
16/set/21;4325189;22678;170
17/set/21;4348775;23586;133
18/set/21;4350223;1448;135
19/set/21;4350530;307;20
20/set/21;4351001;471;5
21/set/21;4352832;1831;191
22/set/21;4354658;1826;200
23/set/21;4356590;1932;193
24/set/21;4358788;2198;215
25/set/21;4360548;1760;175
26/set/21;4360931;383;31
27/set/21;4361331;400;18
28/set/21;4363122;1791;253
29/set/21;4364582;1460;241
30/set/21;4366132;1550;189
01/out/21;4367748;1616;143
02/out/21;4369061;1313;97
03/out/21;4369538;477;14
04/out/21;4369743;205;22
05/out/21;4373508;3765;143
06/out/21;4375187;1679;172
07/out/21;4376700;1513;139
08/out/21;4378139;1439;90
09/out/21;4382863;4724;98
10/out/21;4383381;518;28
11/out/21;4383780;399;33
12/out/21;4384190;410;37
13/out/21;4384416;226;9
14/out/21;4386346;1930;103
15/out/21;4388031;1685;79
16/out/21;4389479;1448;90
17/out/21;4389848;369;19
18/out/21;4390006;158;3
19/out/21;4391302;1296;81
20/out/21;4393050;1748;87
21/out/21;4394675;1625;89
22/out/21;4396904;2229;85
23/out/21;4398737;1833;69
24/out/21;4399007;270;4
25/out/21;4399216;209;1
26/out/21;4400932;1716;78
27/out/21;4402566;1634;59
28/out/21;4403856;1290;116
29/out/21;4404843;987;116
30/out/21;4405527;684;61
31/out/21;4406077;550;27
01/nov/21;4406252;175;17
02/nov/21;4406990;738;62
03/nov/21;4407756;766;17
04/nov/21;4409404;1648;124
05/nov/21;4410875;1471;115
06/nov/21;4412182;1307;179
07/nov/21;4412882;700;11
08/nov/21;4413241;359;0
09/nov/21;4414187;946;2
10/nov/21;4415745;1558;9
11/nov/21;4417592;1847;1
12/nov/21;4420263;2671;414
13/nov/21;4421955;1692;105
14/nov/21;4422424;469;1
15/nov/21;4422590;166;7
16/nov/21;4422923;333;1
17/nov/21;4424893;1970;147
18/nov/21;4426828;1935;85
19/nov/21;4429036;2208;62
20/nov/21;4430190;1154;99
21/nov/21;4430977;787;12
22/nov/21;4431196;219;5
23/nov/21;4432720;1524;94
24/nov/21;4433915;1195;68
25/nov/21;4435125;1210;116
26/nov/21;4436451;1326;124
27/nov/21;4437386;935;114
28/nov/21;4437843;457;9
29/nov/21;4438012;169;4
30/nov/21;4439105;1093;71
01/dez/21;4440191;1086;82
02/dez/21;4441578;1387;54
03/dez/21;4442612;1034;66
04/dez/21;4443589;977;69
05/dez/21;4444413;824;14
06/dez/21;4444626;213;7
07/dez/21;4445942;1316;111
08/dez/21;4447229;1287;91
09/dez/21;4448466;1237;67
10/dez/21;4449552;1086;53
